name,jerseyNumber,position
松山 健太,21,GK
小畑 裕馬,24,GK
藤田 和輝,41,GK
オビ パウエル オビンナ,99,GK
湯澤 聖人,2,DF
奈良 竜樹,3,DF
上島 拓巳,5,DF
辻岡 佑真,15,DF
岡 哲平,16,DF
キム ムンヒョン,19,DF
前嶋 洋太,29,DF
山脇 樺織,33,DF
田代 雅也,37,DF
池田 樹雷人,40,DF
橋本 悠,47,DF
坂井 悠飛,56,DF
重見 柾斗,6,MF
奥野 耕平,8,MF
見木 友哉,11,MF
名古 新太郎,14,MF
秋野 央樹,17,MF
北島 祐二,25,MF
福島 和毅,46,MF
武本 匠平,52,MF
前田 陽輝,53,MF
前田 快,55,MF
松岡 大起,88,MF
碓井 聖生,7,FW
シャハブ ザヘディ,9,FW
城後 寿,10,FW
ナッシム ベン カリファ,13,FW
佐藤 颯之介,18,FW
藤本 一輝,22,FW
道脇 豊,27,FW
鶴野 怜樹,28,FW
サニブラウン ハナン,32,FW
前田 一翔,49,FW
