name,jerseyNumber,position
猿田 遥己,1,GK
小島 亨介,25,GK
永井 堅梧,29,GK
坂田 大樹,41,GK
松本 健太,46,GK
三丸 拡,2,DF
古賀 太陽,4,DF
犬飼 智也,13,DF
野達 裕喜,22,DF
杉岡 大暉,26,DF
成瀬 竣平,31,DF
山之内 佑成,32,DF
原田 亘,42,DF
馬場 晴也,88,DF
山田 雄士,6,MF
小泉 佳穂,8,MF
渡井 理己,11,MF
大久保 智明,14,MF
汰木 康也,16,MF
手塚 康平,17,MF
仲間 隼斗,19,MF
瀬川 祐輔,20,MF
小西 雄大,21,MF
長南 開史,23,MF
久保 藤次郎,24,MF
熊坂 光希,27,MF
戸嶋 祥郎,28,MF
土屋 巧,34,MF
角田 惠風,37,MF
島野 怜,38,MF
中川 敦瑛,39,MF
原川 力,40,MF
山内 日向汰,87,MF
細谷 真大,9,FW
小見 洋太,15,FW
垣田 裕暉,18,FW
古澤 ナベル慈宇,36,FW
