name,jerseyNumber,position
シュミット ダニエル,1,GK
武田 洋平,16,GK
ピサノ アレクサンドレ幸冬堀尾,35,GK
萩 裕陽,36,GK
野上 結貴,2,DF
佐藤 瑶大,3,DF
宮 大樹,4,DF
河面 旺成,6,DF
藤井 陽也,13,DF
三國 ケネディエブス,20,DF
久保 遥夢,37,DF
森 壮一朗,44,DF
徳元 悠平,55,DF
原 輝綺,70,DF
和泉 竜司,7,MF
椎橋 慧也,8,MF
浅野 雄也,9,MF
森島 司,14,MF
稲垣 祥,15,MF
内田 宅哉,17,MF
甲田 英將,19,MF
中山 克広,27,MF
吉田 温紀,29,MF
高嶺 朋樹,31,MF
鈴木 陽人,32,MF
菊地 泰智,33,MF
小野 雅史,41,MF
小屋松 知哉,58,MF
山中 亮輔,66,MF
マテウス カストロ,10,FW
山岸 祐也,11,FW
永井 謙佑,18,FW
木村 勇大,22,FW
マルクス ヴィニシウス,25,FW
榊原 杏太,28,FW
杉浦 駿吾,30,FW
