name,jerseyNumber,position
沖 悠哉,1,GK
梅田 透吾,16,GK
石川 慧,22,GK
佐々木 智太郎,30,GK
高橋 祐治,3,DF
蓮川 壮大,4,DF
北爪 健吾,5,DF
パク スンウク,14,DF
本多 勇喜,15,DF
オム ジュヨン,20,DF
マテウス ブルネッティ,25,DF
吉田 豊,28,DF
日髙 華杜,39,DF
住吉 ジェラニレショーン,51,DF
高木 践,70,DF
宇野 禅斗,6,MF
カピシャーバ,7,MF
井上 健太,8,MF
マテウス ブエノ,10,MF
中原 輝,11,MF
弓場 将輝,17,MF
松崎 快,21,MF
針生 涼太,27,MF
土居 佑至,33,MF
鈴木 奎吾,41,MF
西原 源樹,44,MF
嶋本 悠大,47,MF
小塚 和季,81,MF
大畑 凜生,97,MF
オ セフン,9,FW
郡司 璃来,18,FW
千葉 寛汰,23,FW
アフメド アフメドフ,29,FW
髙橋 利樹,38,FW
北川 航也,49,FW
アルフレド ステファンス,50,FW
