name,jerseyNumber,position
前川 黛也,1,GK
新井 章太,21,GK
ウボング リチャード マンデー,32,GK
髙山 汐生,39,GK
権田 修一,71,GK
マテウス トゥーレル,3,DF
山川 哲史,4,DF
ジエゴ,15,DF
カエターノ,16,DF
広瀬 陸斗,23,DF
酒井 高徳,24,DF
岩波 拓也,31,DF
永戸 勝也,41,DF
本間 ジャスティン,42,DF
山田 海斗,43,DF
入江 羚介,57,DF
ンドカ ボニフェイス,80,DF
飯野 七聖,2,MF
郷家 友太,5,MF
扇原 貴宏,6,MF
井手口 陽介,7,MF
乾 貴士,14,MF
井出 遥也,18,MF
鍬先 祐弥,25,MF
濱﨑 健斗,28,MF
山内 翔,30,MF
橋本 陸斗,33,MF
浦 十藏,38,MF
日髙 光揮,44,MF
瀬口 大翔,51,MF
大西 湊太,58,MF
大迫 勇也,10,FW
武藤 嘉紀,11,FW
佐々木 大樹,13,FW
ジェアン パトリッキ,26,FW
小松 蓮,29,FW
冨永 虹七,35,FW
相澤 デイビッド,45,FW
伊藤 湊太,46,FW
渡辺 隼斗,53,FW
宮原 勇太,55,FW
